iter	Passed	Remaining
539	1988	1693
540	1992	1690
541	1995	1686
542	1999	1682
543	2003	1679
544	2007	1675
545	2011	1672
546	2014	1668
547	2018	1664
548	2021	1660
549	2025	1656
550	2028	1653
551	2032	1649
552	2035	1645
553	2039	1642
554	2043	1638
555	2046	1634
556	2050	1630
557	2053	1626
558	2057	1622
559	2060	1619
560	2064	1615
561	2067	1611
562	2071	1607
563	2074	1603
564	2078	1599
565	2081	1596
566	2085	1592
567	2088	1588
568	2092	1584
569	2095	1580
570	2098	1576
571	2103	1573
572	2107	1570
573	2110	1566
574	2114	1562
575	2117	1558
576	2121	1555
577	2124	1551
578	2128	1547
579	2132	1544
580	2135	1540
581	2139	1536
582	2143	1532
583	2146	1529
584	2149	1525
585	2153	1521
586	2157	1518
587	2161	1514
588	2165	1510
589	2168	1507
590	2172	1503
591	2175	1499
592	2179	1496
593	2183	1492
594	2186	1488
595	2190	1484
596	2193	1480
597	2197	1477
598	2200	1473
599	2204	1469
600	2207	1465
601	2211	1461
602	2214	1457
603	2217	1454
604	2221	1450
605	2226	1447
606	2230	1443
607	2233	1440
608	2236	1436
609	2240	1432
610	2243	1428
611	2247	1424
612	2250	1421
613	2254	1417
614	2258	1413
615	2261	1410
616	2265	1406
617	2269	1402
618	2272	1398
619	2275	1394
620	2279	1391
621	2282	1387
622	2286	1383
623	2289	1379
624	2293	1376
625	2296	1372
626	2300	1368
627	2303	1364
628	2307	1360
629	2310	1356
630	2313	1353
631	2317	1349
632	2320	1345
633	2324	1341
634	2328	1338
635	2332	1334
636	2336	1331
637	2339	1327
638	2343	1323
639	2347	1320
640	2351	1317
641	2356	1313
642	2360	1310
643	2364	1307
644	2368	1303
645	2372	1300
646	2376	1296
647	2380	1293
648	2384	1289
649	2387	1285
650	2391	1282
651	2395	1278
652	2398	1274
653	2402	1271
654	2406	1267
655	2409	1263
656	2413	1259
657	2416	1255
658	2420	1252
659	2424	1248
660	2427	1245
661	2431	1241
662	2434	1237
663	2438	1233
664	2442	1230
665	2446	1226
666	2449	1223
667	2453	1219
668	2457	1215
669	2460	1211
670	2463	1208
671	2467	1204
672	2471	1200
673	2474	1196
674	2478	1193
675	2481	1189
676	2485	1185
677	2488	1181
678	2492	1178
679	2495	1174
680	2499	1170
681	2502	1167
682	2506	1163
683	2509	1159
684	2513	1155
685	2517	1152
686	2520	1148
687	2524	1144
688	2527	1141
689	2531	1137
690	2534	1133
691	2538	1129
692	2541	1125
693	2545	1122
694	2548	1118
695	2552	1114
696	2555	1111
697	2559	1107
698	2562	1103
699	2566	1099
700	2569	1095
701	2572	1092
702	2576	1088
703	2580	1084
704	2583	1081
705	2587	1077
706	2590	1073
707	2593	1069
708	2597	1065
709	2600	1062
710	2603	1058
711	2607	1054
712	2610	1050
713	2614	1047
714	2617	1043
715	2621	1039
716	2624	1035
717	2628	1032
718	2631	1028
719	2635	1024
720	2638	1021
721	2642	1017
722	2645	1013
723	2649	1009
724	2652	1006
725	2656	1002
726	2660	998
727	2663	995
728	2667	991
729	2671	987
730	2674	984
731	2677	980
732	2681	976
733	2685	973
734	2688	969
735	2691	965
736	2695	961
737	2698	958
738	2702	954
739	2705	950
740	2709	946
741	2712	943
742	2716	939
743	2719	935
744	2723	932
745	2726	928
746	2729	924
747	2732	920
748	2736	916
749	2739	913
750	2743	909
751	2746	905
752	2750	902
753	2753	898
754	2757	894
755	2760	890
756	2763	887
757	2767	883
758	2770	879
759	2774	876
760	2777	872
761	2781	868
762	2784	865
763	2788	861
764	2791	857
765	2795	853
766	2798	850
767	2802	846
768	2805	842
769	2809	839
770	2812	835
771	2816	831
772	2819	828
773	2823	824
774	2826	820
775	2830	816
776	2833	813
777	2837	809
778	2840	805
779	2844	802
780	2847	798
781	2850	794
782	2854	790
783	2857	787
784	2861	783
785	2864	779
786	2868	776
787	2871	772
788	2875	769
789	2880	765
790	2884	762
791	2888	758
792	2892	754
793	2897	751
794	2901	748
795	2905	744
796	2908	740
797	2912	737
798	2915	733
799	2919	729
800	2922	726
801	2926	722
802	2929	718
803	2933	715
804	2936	711
805	2940	707
806	2943	703
807	2947	700
808	2950	696
809	2954	693
810	2957	689
811	2961	685
812	2964	681
813	2968	678
814	2971	674
815	2974	670
816	2978	667
817	2981	663
818	2985	659
819	2988	656
820	2992	652
821	2995	648
822	2998	644
823	3002	641
824	3005	637
825	3009	633
826	3012	630
827	3016	626
828	3019	622
829	3023	619
830	3026	615
831	3029	611
832	3033	608
833	3036	604
834	3040	600
835	3043	597
836	3047	593
837	3050	589
838	3053	586
839	3057	582
840	3060	578
841	3064	574
842	3067	571
843	3071	567
844	3074	564
845	3078	560
846	3081	556
847	3085	553
848	3088	549
849	3092	545
850	3095	541
851	3098	538
852	3102	534
853	3106	531
854	3109	527
855	3112	523
856	3116	520
857	3120	516
858	3123	512
859	3127	509
860	3131	505
861	3135	501
862	3139	498
863	3142	494
864	3146	491
865	3150	487
866	3154	483
867	3157	480
868	3161	476
869	3164	472
870	3167	469
871	3171	465
872	3175	461
873	3179	458
874	3182	454
875	3186	451
876	3190	447
877	3194	443
878	3198	440
879	3202	436
880	3206	433
881	3209	429
882	3213	425
883	3216	422
884	3220	418
885	3223	414
886	3227	411
887	3230	407
888	3233	403
889	3237	400
890	3241	396
891	3244	392
892	3247	389
893	3251	385
894	3255	381
895	3258	378
896	3262	374
897	3265	370
898	3269	367
899	3273	363
900	3277	360
901	3280	356
902	3284	352
903	3287	349
904	3291	345
905	3294	341
906	3298	338
907	3301	334
908	3305	330
909	3309	327
910	3312	323
911	3316	319
912	3319	316
913	3323	312
914	3326	309
915	3330	305
916	3334	301
917	3337	298
918	3341	294
919	3344	290
920	3348	287
921	3351	283
922	3355	279
923	3358	276
924	3362	272
925	3365	268
926	3369	265
927	3372	261
928	3376	258
929	3380	254
930	3383	250
931	3387	247
932	3391	243
933	3395	239
934	3398	236
935	3402	232
936	3406	229
937	3410	225
938	3414	221
939	3417	218
940	3421	214
941	3425	210
942	3429	207
943	3433	203
944	3438	200
945	3441	196
946	3445	192
947	3450	189
948	3455	185
949	3459	182
950	3463	178
951	3466	174
952	3470	171
953	3474	167
954	3477	163
955	3481	160
956	3485	156
957	3489	152
958	3492	149
959	3496	145
960	3500	142
961	3503	138
962	3507	134
963	3511	131
964	3515	127
965	3519	123
966	3522	120
967	3526	116
968	3530	112
969	3533	109
970	3537	105
971	3541	102
972	3545	98
973	3549	94
974	3552	91
975	3556	87
976	3560	83
977	3565	80
978	3569	76
979	3573	72
980	3576	69
981	3580	65
982	3584	61
983	3587	58
984	3591	54
985	3595	51
986	3599	47
987	3602	43
988	3606	40
989	3610	36
990	3614	32
991	3618	29
992	3621	25
993	3626	21
994	3629	18
995	3633	14
996	3637	10
997	3641	7
998	3644	3
999	3648	0
