iter	MultiClass
174	0.4860423916
175	0.485117138
176	0.4842976493
177	0.4834154634
178	0.482450158
179	0.4813299043
180	0.4804736072
181	0.4794215872
182	0.4785214907
183	0.4773701103
184	0.4760566309
185	0.4742325661
186	0.4736003309
187	0.4724700564
188	0.4713033339
189	0.4708959238
190	0.4694762845
191	0.4685866574
192	0.4676647812
193	0.4665250308
194	0.4655928589
195	0.4651896024
196	0.4642772359
197	0.4634503242
198	0.4628245148
199	0.4616206573
200	0.4605785211
201	0.4595732511
202	0.458631285
203	0.4579888351
204	0.4569169638
205	0.4564189863
206	0.4556311707
207	0.4547871733
208	0.4539003876
209	0.4526381409
210	0.4517147326
211	0.4512246956
212	0.4501161096
213	0.4489263052
214	0.4476975597
215	0.4467497774
216	0.4458906328
217	0.4449636403
218	0.4442971068
219	0.443364303
220	0.4427930293
221	0.4419678282
222	0.44118516
223	0.4407638342
224	0.4395141477
225	0.4386729714
226	0.4381655612
227	0.4375486333
228	0.4363640995
229	0.435910717
230	0.4347341549
231	0.4341647532
232	0.4335572138
233	0.4330081675
234	0.4322138538
235	0.4313373684
236	0.4303078862
237	0.4293256696
238	0.4288489446
239	0.4282313092
240	0.4273957285
241	0.4269229822
242	0.4260521353
243	0.4252633243
244	0.4244005339
245	0.4233720094
246	0.4229430751
247	0.4223254458
248	0.4217704588
249	0.4209773088
250	0.4204219515
251	0.4198771127
252	0.419205109
253	0.4186161985
254	0.4178857928
255	0.4175605403
256	0.4162746189
257	0.4156069593
258	0.4146650234
259	0.4135672509
260	0.4127276087
261	0.4119331534
262	0.4111400483
263	0.4105108181
264	0.4098006574
265	0.4089425131
266	0.4084986445
267	0.4077262776
268	0.4068678932
269	0.405939605
270	0.4055144327
271	0.4047850081
272	0.4039827235
273	0.4034416822
274	0.4027625542
275	0.4021912786
276	0.401810641
277	0.4012276117
278	0.4005194364
279	0.3997830317
280	0.399223803
281	0.3983609107
282	0.3978613465
283	0.3969874474
284	0.3959976018
285	0.3954311031
286	0.3951319311
287	0.3947113501
288	0.3940770819
289	0.3929861809
290	0.3922421421
291	0.3916917212
292	0.3909889674
293	0.3897591253
294	0.3890180904
295	0.3879567433
296	0.3874053248
297	0.3869578848
298	0.386257725
299	0.3858400947
300	0.3851061792
301	0.384088164
302	0.3836648695
303	0.3830978947
304	0.3822326968
305	0.3815880463
306	0.3811272223
307	0.3803479623
308	0.379739407
309	0.3791370888
310	0.3788212284
311	0.3782679313
312	0.3771753012
313	0.3766670045
314	0.3761847849
315	0.375531086
316	0.3749759815
317	0.3744091244
318	0.3738472793
319	0.373186958
320	0.3727778414
321	0.3723706703
322	0.3719706457
323	0.3711613995
324	0.3704747628
325	0.3699645524
326	0.3694804104
327	0.3688852897
328	0.3683354754
329	0.3674641971
330	0.366692
331	0.3663067815
332	0.3660085017
333	0.3654808384
334	0.3651659327
335	0.3646513364
336	0.3640399078
337	0.363566375
338	0.3628770338
339	0.3625214811
340	0.3617543657
341	0.3610059385
342	0.3606292534
343	0.3598808158
344	0.3591037836
345	0.3588134176
346	0.3579730582
347	0.3575991007
348	0.3570659695
349	0.3564302091
350	0.3557027288
351	0.3550620256
352	0.3542680492
353	0.3540511824
354	0.3536655876
355	0.3532913324
356	0.3527912651
357	0.3524016538
358	0.3518487244
359	0.3511201857
360	0.350438287
361	0.3501899287
362	0.3494226999
363	0.3489299481
364	0.3480390861
365	0.3473171663
366	0.3468997649
367	0.3463843937
368	0.3458611694
369	0.3455317321
370	0.3448304259
371	0.3442261087
372	0.3436792347
373	0.3428960271
374	0.3425673357
375	0.3421864244
376	0.341725894
377	0.3410079087
378	0.3403640966
379	0.3398659455
380	0.3395138874
381	0.3390841419
382	0.3382930521
383	0.3377082653
384	0.3369476076
385	0.336704073
386	0.3361970079
387	0.335811745
388	0.3352210125
389	0.334850193
390	0.334315115
391	0.3333590017
392	0.3326442107
393	0.332304671
394	0.3317118529
395	0.3312226577
396	0.330416498
397	0.3300210794
398	0.3296702601
399	0.3289661208
400	0.3285388894
401	0.3280909954
402	0.3276097716
403	0.3270559804
404	0.3264418337
405	0.3258009114
406	0.3254881974
407	0.3248572006
408	0.3244142358
409	0.3240136677
410	0.3232011798
411	0.3224561785
412	0.3219143625
413	0.3212500387
414	0.3207849236
415	0.3202334861
416	0.3200509547
417	0.3196119741
418	0.3189184945
419	0.3182509269
420	0.3176416762
421	0.3171507069
422	0.3165750445
423	0.3160470101
424	0.3156544408
425	0.3149301867
426	0.3144740564
427	0.313962538
428	0.3135370181
429	0.3127773421
430	0.3123450363
431	0.3116817575
432	0.3112582972
433	0.3107502031
434	0.3103324653
435	0.3099364058
436	0.3094607401
437	0.3090972734
438	0.3087350079
439	0.3079089804
440	0.3074954619
441	0.3071839891
442	0.3064352366
443	0.3060292153
444	0.3051894791
445	0.3041218845
446	0.3037626909
447	0.3031681382
448	0.302716136
449	0.3020574279
450	0.3016691702
451	0.3010339129
452	0.3005520748
453	0.3001088822
454	0.2996706157
455	0.2989621495
456	0.2986040551
457	0.2981671299
458	0.2975747489
459	0.2970917498
460	0.2960975136
461	0.2955078245
462	0.2951476006
463	0.2946731761
464	0.2942598034
465	0.2936922763
466	0.2933434486
467	0.2930044631
468	0.2926516129
469	0.2920819307
470	0.2917914765
471	0.2914165335
472	0.2911370437
473	0.2907372687
474	0.2904246165
475	0.290011562
476	0.2895321765
477	0.2889625104
478	0.2882644769
479	0.2878905085
480	0.2874934011
481	0.2869020314
482	0.286334392
483	0.2860066107
484	0.2852778175
485	0.2846448927
486	0.2840639029
487	0.2834960034
488	0.2831880619
489	0.282937854
490	0.282482022
491	0.2820769438
492	0.2816001843
493	0.2810609574
494	0.28068872
495	0.2802295425
496	0.279729029
497	0.2789392652
498	0.2785755307
499	0.2781016431
500	0.27731084
501	0.2769983244
502	0.2766821496
503	0.2763324925
504	0.2756839202
505	0.2753343918
506	0.2748969607
507	0.2745284118
508	0.2742175658
509	0.274028033
510	0.2735600891
511	0.2732012181
512	0.272931002
513	0.2722344264
514	0.2718588081
515	0.2715091695
516	0.2713093931
517	0.270614629
518	0.2701034176
519	0.2696550216
520	0.2691102936
521	0.2685882421
522	0.2682999099
523	0.2678719785
524	0.2674903971
525	0.2670721112
526	0.266600032
527	0.2662447374
528	0.2658720751
529	0.265334428
530	0.2648781133
531	0.2645333006
532	0.2641668234
533	0.2636310902
534	0.2631436818
535	0.2626947636
536	0.2620707513
537	0.2616592167
538	0.2613484592
539	0.2610485733
540	0.2606519943
541	0.2603466026
542	0.2598967705
543	0.2596891226
544	0.2592855694
545	0.2587333399
546	0.2585670787
547	0.2582463093
548	0.2576861926
549	0.2572056436
550	0.256898748
551	0.2566148559
552	0.2562563421
553	0.2558198815
554	0.2554906855
555	0.2550477874
556	0.2546917087
557	0.2539582001
558	0.253553374
559	0.2530064794
560	0.2526163661
561	0.2521700998
562	0.2518248009
563	0.2515358861
564	0.2512291182
565	0.2507092826
566	0.250411746
567	0.2499953976
568	0.2496273859
569	0.2493349371
570	0.2489998159
571	0.2486433362
572	0.2480921097
573	0.247742721
574	0.2474883755
575	0.2471452301
576	0.2468862895
577	0.2466874737
578	0.2464838981
579	0.2460715149
580	0.2456133874
581	0.2451597781
582	0.2449498183
583	0.2445529693
584	0.2441401012
585	0.2435767042
586	0.2431472077
587	0.2428232579
588	0.2425995851
589	0.2423260057
590	0.2419301746
591	0.2412213438
592	0.2407848152
593	0.2404577744
594	0.2401477477
595	0.2397954833
596	0.2394580418
597	0.2390661392
598	0.2388351662
599	0.2385602913
600	0.2383598854
601	0.2380246999
602	0.2378054832
603	0.2374697727
604	0.2369084979
605	0.2366227681
606	0.2363905991
607	0.2359772992
608	0.2357708982
609	0.2353979133
610	0.2348998075
611	0.2346279162
612	0.2341933685
613	0.2337659952
614	0.2334175998
615	0.2330281186
616	0.232831717
617	0.2326033492
618	0.2324075975
619	0.2320122147
620	0.2316464868
621	0.2314510584
622	0.2312173615
623	0.2308501133
624	0.2304160915
625	0.2299100649
626	0.2295384112
627	0.2294603634
628	0.2292371542
629	0.2289020645
630	0.2286341056
631	0.2282802
632	0.2277989256
633	0.2273716867
634	0.2271074532
635	0.2267055874
636	0.2262750189
637	0.2260800477
638	0.2256569511
639	0.2253283973
640	0.2249359328
641	0.2246868547
642	0.2244131168
643	0.2240426179
644	0.2237166679
645	0.2232886285
646	0.2229760831
647	0.2225333004
648	0.2222649581
649	0.2221064856
650	0.221746733
651	0.2213988703
652	0.2212026663
653	0.2209124024
654	0.2206214375
655	0.220283743
656	0.2199653304
657	0.2196931928
658	0.2193429103
659	0.2188627558
660	0.2185761321
661	0.2183460369
662	0.2181473876
663	0.2178295763
664	0.2173632723
665	0.2169187057
666	0.2167718419
667	0.2164278055
668	0.2160865618
669	0.215785108
670	0.2154042497
671	0.2151685899
672	0.2147978135
673	0.2145483707
674	0.2142597178
675	0.2140846259
676	0.2137512895
677	0.2134217292
678	0.2131599316
679	0.2129236213
680	0.2125087061
681	0.2119713883
682	0.2115090843
683	0.2111481603
684	0.2109312269
685	0.2107167314
686	0.2104699474
687	0.2102054293
688	0.2098783372
689	0.2096426908
690	0.2094766043
691	0.2091990102
692	0.2090249445
693	0.2086881365
694	0.2083982249
695	0.2081970216
696	0.2077794342
697	0.2075266758
698	0.2073300419
699	0.2070589473
700	0.2067569945
701	0.2064902785
702	0.2060313514
703	0.2054855178
704	0.2052777555
705	0.2050298153
706	0.2047614087
707	0.2044795086
708	0.204194977
709	0.2038936693
710	0.2036357767
711	0.2033679235
712	0.2031152111
713	0.2025590931
714	0.2023027517
715	0.202037056
716	0.2016376996
717	0.2014380759
718	0.2009955667
719	0.2007243176
720	0.2004936749
721	0.2002204023
722	0.2000847898
723	0.1999135554
724	0.1996237663
725	0.1993038271
726	0.1990951805
727	0.1988476128
728	0.19866664
729	0.1985130929
730	0.1980449293
731	0.1978781658
732	0.1975972077
733	0.1974623559
734	0.1971125594
735	0.1966227539
736	0.1962115722
737	0.1958173294
738	0.1955384881
739	0.1953091501
740	0.1951055206
741	0.1948603795
742	0.1946434935
743	0.1943437595
744	0.1941215096
745	0.1938395661
746	0.1934829569
747	0.1932060483
748	0.1929286381
749	0.1927138867
750	0.1923467868
751	0.1920969259
752	0.1918164472
753	0.1916453259
754	0.19145265
755	0.1911874931
756	0.1910738873
757	0.1907361289
758	0.190600398
759	0.1903644866
760	0.1902670751
761	0.1899577401
762	0.1897174447
763	0.1894046318
764	0.1890489742
765	0.1887406842
766	0.1884001551
767	0.188162355
768	0.1879877733
769	0.187695721
770	0.1872905557
771	0.1871450935
772	0.1867262423
773	0.1864533584
774	0.186191585
775	0.1860951665
776	0.1859127323
777	0.1856754978
778	0.1855985252
779	0.1854297978
780	0.1852196131
781	0.1849756323
782	0.1847800643
783	0.1845683583
784	0.1842170434
785	0.1839967232
786	0.1838239218
787	0.1836485006
788	0.1833061736
789	0.1831063978
790	0.1829101383
791	0.1827164943
792	0.1825653339
793	0.1823111086
794	0.181970914
795	0.1818382246
796	0.181609708
797	0.1813767059
798	0.1811736537
799	0.1809905795
800	0.1808363685
801	0.1805195428
802	0.1803450218
803	0.1801296223
804	0.1799282568
805	0.1795310619
806	0.1791506674
807	0.1788192963
808	0.1786200418
809	0.1783190934
810	0.1780941233
811	0.1779437208
812	0.1777999678
813	0.1775640521
814	0.1772568777
815	0.1770911649
816	0.1769240789
817	0.1766878869
818	0.1764829962
819	0.1761881476
820	0.1759451433
821	0.1757248438
822	0.1755181751
823	0.175275479
824	0.1749280925
825	0.1747349497
826	0.174531082
827	0.1744083059
828	0.1741356283
829	0.1737196346
830	0.1734560631
831	0.1732294268
832	0.1728135243
833	0.1726035359
834	0.172281178
835	0.1719825509
836	0.171806516
837	0.1716405118
838	0.171461664
839	0.1712181849
840	0.1710180058
841	0.1708635421
842	0.1707443287
843	0.1705680282
844	0.1702720704
845	0.1700634547
846	0.1698772906
847	0.169565452
848	0.1693282997
849	0.1690788345
850	0.1689158141
851	0.1686893501
852	0.1685420386
853	0.1684044553
854	0.1682415104
855	0.1680632794
856	0.1677612218
857	0.1676450515
858	0.1673586402
859	0.167120488
860	0.166874165
861	0.1666053145
862	0.1663482447
863	0.1660278179
864	0.1658532555
865	0.1656631254
866	0.1654906067
867	0.1653652126
868	0.1651441766
869	0.1649827678
870	0.1647287588
871	0.1645688116
872	0.1643757625
873	0.1641414044
874	0.1639520229
875	0.1638532556
876	0.1636626972
877	0.1634826849
878	0.1633568743
879	0.1631466794
880	0.1629541953
881	0.162753319
882	0.1625642735
883	0.1623563236
884	0.162118203
885	0.1617228826
886	0.1615449756
887	0.1614367398
888	0.1612416689
889	0.1610210753
890	0.1607459862
891	0.1604668832
892	0.1601807991
893	0.1598849807
894	0.1597269436
895	0.1593933669
896	0.1592199138
897	0.1590602902
898	0.1588628657
899	0.1585891276
900	0.1584289181
901	0.1581957224
902	0.1580712308
903	0.1578403744
904	0.1576220784
905	0.1573772023
906	0.1572406551
907	0.157096765
908	0.1568080081
909	0.1566931116
910	0.1564488142
911	0.1562906626
912	0.1559704267
913	0.1556164728
914	0.1553445662
915	0.1552135016
916	0.1549945579
917	0.1547327553
918	0.1546006396
919	0.1543678579
920	0.1541565619
921	0.1539816216
922	0.1538307443
923	0.1536047467
924	0.1534590769
925	0.1531610224
926	0.1528722791
927	0.152783946
928	0.1525859083
929	0.1523261881
930	0.1521890098
931	0.1519527043
932	0.1517650474
933	0.1516036915
934	0.1512646363
935	0.1511259982
936	0.1508436883
937	0.150738944
938	0.1503599657
939	0.1501515148
940	0.1499183253
941	0.1496217472
942	0.1495166612
943	0.1493560689
944	0.1492080513
945	0.1490878666
946	0.1489322261
947	0.1488477591
948	0.1487486924
949	0.1485177965
950	0.1484684688
951	0.1482856072
952	0.1481251899
953	0.1479767407
954	0.1478344956
955	0.1476259513
956	0.1474834253
957	0.1472858432
958	0.1471526735
959	0.1469504479
960	0.1467039619
961	0.1464402811
962	0.1462498196
963	0.1461384462
964	0.146039827
965	0.1458324851
966	0.1455859686
967	0.145362577
968	0.1452472634
969	0.1450266397
970	0.1447260115
971	0.1445272148
972	0.1443880615
973	0.1442379605
974	0.1440589159
975	0.1437562385
976	0.1435455398
977	0.1433389454
978	0.1431635945
979	0.1430921536
980	0.1428710359
981	0.1427151735
982	0.1425520268
983	0.1423736236
984	0.1420303121
985	0.1419469751
986	0.1416789334
987	0.1414080399
988	0.1412797338
989	0.1411052905
990	0.1409941097
991	0.1408187644
992	0.1405729672
993	0.1403776258
994	0.1402426601
995	0.1400868587
996	0.1399897894
997	0.1398171467
998	0.1396988465
999	0.1395155859
